month,region,product,sales
Oct,South,Laptop,11312
Apr,South,Laptop,8435
Oct,North,Tablet,13876
Dec,West,Phone,13746
Jun,North,Laptop,16968
Sep,North,Laptop,9351
Jul,North,Tablet,9849
Jun,East,Tablet,12008
Sep,South,Laptop,18974
Jan,East,Tablet,11899
Mar,South,Laptop,17864
Jun,West,Phone,9080
Jan,North,Tablet,8135
Dec,East,Phone,9809
Sep,North,Tablet,13544
Aug,East,Laptop,23004
Jul,East,Phone,8276
May,West,Phone,19468
Mar,East,Phone,21326
Dec,East,Phone,21987
Mar,South,Tablet,6741
Aug,North,Laptop,6792
Aug,North,Laptop,10463
Nov,East,Laptop,14196
Sep,West,Laptop,5684
Jun,East,Laptop,21074
Aug,West,Phone,7091
Jul,West,Laptop,12631
Sep,East,Phone,23656
Aug,South,Laptop,18458
Jun,North,Laptop,10208
May,East,Laptop,18102
Feb,West,Laptop,24837
Jan,East,Phone,16855
May,East,Phone,18700
Jul,West,Laptop,19272
Aug,West,Phone,23879
Jun,North,Phone,18530
Nov,North,Phone,19920
Oct,East,Laptop,22371
Mar,South,Tablet,6664
Oct,East,Laptop,10721
Dec,East,Laptop,18525
Feb,North,Phone,23266
Jun,North,Tablet,10241
Oct,West,Laptop,8754
Jul,North,Phone,14889
Dec,South,Phone,6608
Nov,North,Phone,16628
Nov,South,Laptop,20381
Feb,North,Tablet,14603
Mar,South,Laptop,6827
Mar,West,Tablet,12541
Jul,South,Laptop,11982
May,East,Tablet,20766
Apr,East,Phone,24271
Jan,East,Laptop,9549
Apr,West,Phone,22442
Nov,West,Tablet,20899
Jul,East,Laptop,16445
May,North,Phone,10098
Jul,South,Tablet,23140
Aug,East,Laptop,18425
Sep,West,Phone,7732
Dec,West,Laptop,10932
Jun,East,Tablet,18043
Nov,North,Tablet,24560
Mar,East,Phone,11713
Dec,South,Phone,8418
Jul,East,Laptop,6200
Sep,South,Tablet,23615
May,North,Phone,6331
May,West,Tablet,8568
Jun,East,Phone,15748
Feb,North,Laptop,14270
Jan,East,Phone,19164
Oct,North,Laptop,11102
Jan,North,Phone,6111
Jan,South,Phone,14293
Jul,North,Laptop,15785
Jun,North,Tablet,9970
Nov,South,Tablet,16384
Nov,South,Tablet,17152
Feb,North,Laptop,10672
Jan,South,Phone,22540
Apr,South,Phone,17116
Jul,South,Phone,20414
Dec,West,Phone,19671
May,East,Laptop,21080
Mar,South,Phone,22293
May,North,Tablet,9355
Jun,West,Tablet,15337
May,South,Phone,20959
Jul,West,Phone,9614
Apr,West,Tablet,12311
Jan,East,Phone,5485
Jul,North,Laptop,9308
Jul,North,Tablet,13308
May,South,Laptop,23265
Jun,West,Tablet,18269
Apr,East,Phone,7318
Jan,North,Tablet,7262
Jan,West,Laptop,5875
Feb,West,Phone,19836
May,North,Phone,21043
Jan,South,Laptop,7693
Jul,East,Laptop,5451
Jul,South,Laptop,7081
Oct,West,Tablet,19659
Aug,South,Tablet,8048
Dec,South,Phone,9922
Nov,West,Laptop,20467
Jun,North,Phone,14182
Apr,South,Phone,14854
Apr,North,Tablet,21628
Oct,South,Laptop,8182
Oct,West,Laptop,8191
Aug,East,Tablet,15598
