month,region,product,sales
Jan,North,Laptop,12000
Jan,South,Phone,9000
Jan,East,Tablet,7000
Jan,West,Laptop,11000
Jan,North,Phone,8500
Feb,North,Laptop,14000
Feb,South,Phone,9500
Feb,East,Tablet,8000
Feb,West,Laptop,12500
Feb,North,Tablet,7200
Mar,North,Laptop,16000
Mar,South,Phone,11000
Mar,East,Tablet,8500
Mar,West,Laptop,13500
Mar,North,Phone,9200
Apr,North,Laptop,17000
Apr,South,Phone,12000
Apr,East,Tablet,9000
Apr,West,Laptop,14000
Apr,North,Tablet,7800
May,North,Laptop,18000
May,South,Phone,12500
May,East,Tablet,9200
May,West,Laptop,14500
May,North,Phone,9800
Jun,North,Laptop,19000
Jun,South,Phone,13500
Jun,East,Tablet,9600
Jun,West,Laptop,15000
Jun,North,Tablet,8200
Jul,North,Laptop,20000
Jul,South,Phone,14000
Jul,East,Tablet,10000
Jul,West,Laptop,15500
Jul,North,Phone,10500
Aug,North,Laptop,21000
Aug,South,Phone,14500
Aug,East,Tablet,10500
Aug,West,Laptop,16000
Aug,North,Tablet,9000
Sep,North,Laptop,22000
Sep,South,Phone,15000
Sep,East,Tablet,11000
Sep,West,Laptop,16500
Sep,North,Phone,11200
Oct,North,Laptop,23000
Oct,South,Phone,15500
Oct,East,Tablet,11500
Oct,West,Laptop,17000
Oct,North,Tablet,9800
Nov,North,Laptop,24000
Nov,South,Phone,16000
Nov,East,Tablet,12000
Nov,West,Laptop,17500
Nov,North,Phone,11800
Dec,North,Laptop,25000
Dec,South,Phone,17000
Dec,East,Tablet,12500
Dec,West,Laptop,18000
Dec,North,Tablet,10500
